play_name,character,act,scene,sentence,text,tokens,sentiment_score
The Jew of Malta,BARABAS,1,none,23,"And in his house heap pearl like pebble-stones,","['house', 'heap', 'pearl', 'like', 'pebble-stones']",-0.082739107
The Jew of Malta,BARABAS,1,none,24,"Receive them free, and sell them by the weight;","['Receive', 'free', 'sell', 'weight']",0.026575103
The Jew of Malta,BARABAS,1,none,25,"Bags of fiery opals, sapphires, amethysts,","['Bags', 'fiery', 'opals', 'sapphires', 'amethysts']",0.171684796
The Jew of Malta,BARABAS,1,none,26,"Jacinths, hard topaz, grass-green emeralds,","['Jacinths', 'hard', 'topaz', 'grass-green', 'emeralds']",0.279614484
The Jew of Malta,BARABAS,1,none,27,"Beauteous rubies, sparkling diamonds,","['Beauteous', 'rubies', 'sparkling', 'diamonds']",0.867010437
The Jew of Malta,BARABAS,1,none,28,"And seld-seen  costly stones of so great price,","['seld-seen', 'costly', 'stones', 'great', 'price']",0.173028208
The Jew of Malta,BARABAS,1,none,29,"As one of them, indifferently rated,","['one', 'indifferently', 'rated']",-0.526296886
The Jew of Malta,BARABAS,1,none,30,"And of a carat of this quantity,","['carat', 'quantity']",0.010979801
The Jew of Malta,BARABAS,1,none,31,"May serve, in peril of calamity,","['May', 'serve', 'peril', 'calamity']",-0.038050972
The Jew of Malta,BARABAS,1,none,32,To ransom great kings from captivity.,"['ransom', 'great', 'kings', 'captivity']",-0.158369817
The Jew of Malta,BARABAS,1,none,33,This is the ware wherein consists my wealth;,"['ware', 'wherein', 'consists', 'wealth']",0.13537439
The Jew of Malta,BARABAS,1,none,34,And thus methinks should men of judgment frame,"['thus', 'methinks', 'men', 'judgment', 'frame']",-0.262154229
The Jew of Malta,BARABAS,1,none,35,"Their means of traffic from the vulgar trade,","['means', 'traffic', 'vulgar', 'trade']",-0.407203022
The Jew of Malta,BARABAS,1,none,36,"And, as their wealth increaseth, so inclose","['wealth', 'increaseth', 'inclose']",0.06603618
The Jew of Malta,BARABAS,1,none,37,Infinite riches in a little room.,"['Infinite', 'riches', 'little', 'room']",0.186055027
The Jew of Malta,BARABAS,1,none,38,But now how stands the wind?,"['stands', 'wind']",-0.126133855
The Jew of Malta,BARABAS,1,none,39,Into what corner peers my halcyon's bill?,"['corner', 'peers', 'halcyon', 'bill']",-0.040813122
The Jew of Malta,BARABAS,1,none,40,Ha! to the east? yes.  See how stand the vanes,"['Ha', 'east', 'yes', 'See', 'stand', 'vanes']",0.12273125
The Jew of Malta,BARABAS,1,none,41,"East and by south:  why, then, I hope my ships","['East', 'south', 'hope', 'ships']",-0.000532657
The Jew of Malta,BARABAS,1,none,42,I sent for Egypt and the bordering isles,"['sent', 'Egypt', 'bordering', 'isles']",-0.145504039
The Jew of Malta,BARABAS,1,none,43,Are gotten up by Nilus' winding banks;,"['gotten', 'Nilus', 'winding', 'banks']",0.040293179
The Jew of Malta,BARABAS,1,none,44,"Mine argosy from Alexandria,","['argosy', 'Alexandria']",0.039556701
The Jew of Malta,BARABAS,1,none,45,"Loaden with spice and silks, now under sail,","['Loaden', 'spice', 'silks', 'sail']",0.04660162
The Jew of Malta,BARABAS,1,none,46,Are smoothly gliding down by Candy-shore,"['smoothly', 'gliding', 'Candy-shore']",0.163519884
The Jew of Malta,BARABAS,1,none,47,"To Malta, through our Mediterranean sea.","['Malta', 'Mediterranean', 'sea']",0.079354431
The Jew of Malta,BARABAS,1,none,48,But who comes here? How now!,['comes'],-0.218884453
The Jew of Malta,MERCHANT,1,none,1,"Barabas, thy ships are safe,","['Barabas', 'ships', 'safe']",0.501415307
The Jew of Malta,MERCHANT,1,none,2,Riding in Malta-road; and all the merchants,"['Riding', 'Malta-road', 'merchants']",-0.007234082
The Jew of Malta,MERCHANT,1,none,3,"With other merchandise are safe arriv'd,","['merchandise', 'safe', 'arriv']",0.327081222
The Jew of Malta,MERCHANT,1,none,4,And have sent me to know whether yourself,"['sent', 'know', 'whether']",-0.06319638
The Jew of Malta,MERCHANT,1,none,5,Will come and custom them.,"['come', 'custom']",0.046866551
The Jew of Malta,BARABAS,1,none,1,"The ships are safe thou say'st, and richly fraught?","['ships', 'safe', ""say'st"", 'richly', 'fraught']",0.388076939
The Jew of Malta,MERCHANT,1,none,1,They are.,[],-0.066410378
The Jew of Malta,BARABAS,1,none,1,"Why, then, go bid them come ashore,","['go', 'bid', 'come', 'ashore']",-0.023983218
The Jew of Malta,BARABAS,1,none,2,And bring with them their bills of entry:,"['bring', 'bills', 'entry']",-0.064325728
The Jew of Malta,BARABAS,1,none,3,I hope our credit in the custom-house,"['hope', 'credit', 'custom-house']",0.342132105
The Jew of Malta,BARABAS,1,none,4,Will serve as well as I were present there.,"['serve', 'well', 'present']",0.700525391
The Jew of Malta,BARABAS,1,none,5,"Go send 'em threescore camels, thirty mules,","['Go', 'send', ""'em"", 'threescore', 'camels', 'thirty', 'mules']",-0.050227068
The Jew of Malta,BARABAS,1,none,6,"And twenty waggons, to bring up the ware.","['twenty', 'waggons', 'bring', 'ware']",-0.076158106
The Jew of Malta,BARABAS,1,none,7,"But art thou master in a ship of mine,","['master', 'ship']",0.070512224
The Jew of Malta,BARABAS,1,none,8,And is thy credit not enough for that?,"['credit', 'enough']",-0.231342863
The Jew of Malta,MERCHANT,1,none,1,The very custom barely comes to more,"['custom', 'barely', 'comes']",-0.214507304
The Jew of Malta,MERCHANT,1,none,2,"Than many merchants of the town are worth,","['many', 'merchants', 'town', 'worth']",0.042695612
The Jew of Malta,MERCHANT,1,none,3,"And therefore far exceeds my credit, sir.","['therefore', 'far', 'exceeds', 'credit', 'sir']",-0.650011608
The Jew of Malta,BARABAS,1,none,1,"Go tell 'em the Jew of Malta sent thee, man:","['Go', 'tell', ""'em"", 'Jew', 'Malta', 'sent', 'man']",-0.061741922
The Jew of Malta,BARABAS,1,none,2,"Tush, who amongst 'em knows not Barabas?","['Tush', 'amongst', ""'em"", 'knows', 'Barabas']",-0.276419019
The Jew of Malta,MERCHANT,1,none,1,I go.,['go'],0.111258611
The Jew of Malta,BARABAS,1,none,1,"So, then, there's somewhat come.","['somewhat', 'come']",0.114161771
The Jew of Malta,BARABAS,1,none,2,"Sirrah, which of my ships art thou master of?","['Sirrah', 'ships', 'master']",-0.023746558
The Jew of Malta,MERCHANT,1,none,1,"Of the Speranza, sir.","['Speranza', 'sir']",0.004753001
The Jew of Malta,BARABAS,1,none,1,And saw'st thou not,"[""saw'st""]",-0.08812128
The Jew of Malta,BARABAS,1,none,2,Mine argosy at Alexandria?,"['argosy', 'Alexandria']",-0.017492432
The Jew of Malta,BARABAS,1,none,3,"Thou couldst not come from Egypt, or by Caire,","['come', 'Egypt', 'Caire']",-0.225008853
The Jew of Malta,BARABAS,1,none,4,"But at the entry there into the sea,","['entry', 'sea']",-0.018806249
The Jew of Malta,BARABAS,1,none,5,"Where Nilus pays his tribute to the main,","['Nilus', 'pays', 'tribute', 'main']",0.093791883
The Jew of Malta,BARABAS,1,none,6,Thou needs must sail by Alexandria.,"['needs', 'must', 'sail', 'Alexandria']",0.010287356
The Jew of Malta,MERCHANT,1,none,1,"I neither saw them, nor inquir'd of them:","['neither', 'saw', 'inquir']",-0.176475275
The Jew of Malta,MERCHANT,1,none,2,"But this we heard some of our seamen say,","['heard', 'seamen', 'say']",-0.038833249
The Jew of Malta,MERCHANT,1,none,3,They wonder'd how you durst with so much wealth,"['wonder', 'durst', 'much', 'wealth']",-0.189374484
The Jew of Malta,MERCHANT,1,none,4,"Trust such a crazed vessel, and so far.","['Trust', 'crazed', 'vessel', 'far']",-0.437465411
The Jew of Malta,BARABAS,1,none,1,"Tush, they are wise!  I know her and her strength.","['Tush', 'wise', 'know', 'strength']",0.809118598
The Jew of Malta,BARABAS,1,none,2,"But go, go thou thy ways, discharge thy ship,","['go', 'go', 'ways', 'discharge', 'ship']",0.059751049
The Jew of Malta,BARABAS,1,none,3,And bid my factor bring his loading in.,"['bid', 'factor', 'bring', 'loading']",-0.018686384
The Jew of Malta,BARABAS,1,none,4,And yet I wonder at this argosy.,"['yet', 'wonder', 'argosy']",-0.188436534
The Jew of Malta,SECOND MERCHANT,1,none,1,"Thine argosy from Alexandria,","['argosy', 'Alexandria']",-0.006082512
The Jew of Malta,SECOND MERCHANT,1,none,2,"Know, Barabas, doth ride in Malta-road,","['Know', 'Barabas', 'doth', 'ride', 'Malta-road']",0.002225682
The Jew of Malta,SECOND MERCHANT,1,none,3,"Laden with riches, and exceeding store","['Laden', 'riches', 'exceeding', 'store']",0.608138856
The Jew of Malta,SECOND MERCHANT,1,none,4,"Of Persian silks, of gold, and orient pearl.","['Persian', 'silks', 'gold', 'orient', 'pearl']",0.027846783
The Jew of Malta,BARABAS,1,none,1,How chance you came not with those other ships,"['chance', 'came', 'ships']",-0.183544859
The Jew of Malta,BARABAS,1,none,2,That sail'd by Egypt?,"['sail', 'Egypt']",-0.07593549
The Jew of Malta,SECOND MERCHANT,1,none,1,"Sir, we saw 'em not.","['Sir', 'saw', ""'em""]",-0.28062097
The Jew of Malta,BARABAS,1,none,1,Belike they coasted round by Candy-shore,"['Belike', 'coasted', 'round', 'Candy-shore']",0.041902315
The Jew of Malta,BARABAS,1,none,2,About their oils or other businesses.,"['oils', 'businesses']",-0.055172116
The Jew of Malta,BARABAS,1,none,3,But 'twas ill done of you to come so far,"[""'t"", 'ill', 'done', 'come', 'far']",-0.275132321
The Jew of Malta,BARABAS,1,none,4,Without the aid or conduct of their ships.,"['Without', 'aid', 'conduct', 'ships']",-0.223259738
The Jew of Malta,SECOND MERCHANT,1,none,1,"Sir, we were wafted by a Spanish fleet,","['Sir', 'wafted', 'Spanish', 'fleet']",0.008501582
The Jew of Malta,SECOND MERCHANT,1,none,2,"That never left us till within a league,","['never', 'left', 'till', 'within', 'league']",0.086910777
The Jew of Malta,SECOND MERCHANT,1,none,3,That had the galleys of the Turk in chase.,"['galleys', 'Turk', 'chase']",-0.019686118
The Jew of Malta,BARABAS,1,none,1,"O, they were going up to Sicily.","['going', 'Sicily']",0.022478689
The Jew of Malta,BARABAS,1,none,2,"Well, go,","['Well', 'go']",0.09506616
The Jew of Malta,BARABAS,1,none,3,"And bid the merchants and my men despatch,","['bid', 'merchants', 'men', 'despatch']",-0.048403502
The Jew of Malta,BARABAS,1,none,4,"And come ashore, and see the fraught discharg'd.","['come', 'ashore', 'see', 'fraught', 'discharg']",-0.167902771
The Jew of Malta,SECOND MERCHANT,1,none,1,I go.,['go'],0.111258611
The Jew of Malta,BARABAS,1,none,1,"Thus trolls our fortune in by land and sea,","['Thus', 'trolls', 'fortune', 'land', 'sea']",-0.028217584
The Jew of Malta,BARABAS,1,none,2,And thus are we on every side enrich'd:,"['thus', 'every', 'side', 'enrich']",0.039903373
The Jew of Malta,BARABAS,1,none,3,"These are the blessings promis'd to the Jews,","['blessings', 'promis', 'Jews']",0.44498121
The Jew of Malta,BARABAS,1,none,4,And herein was old Abraham's happiness:,"['herein', 'old', 'Abraham', 'happiness']",0.347262852
The Jew of Malta,BARABAS,1,none,5,What more may heaven do for earthly man,"['may', 'heaven', 'earthly', 'man']",0.279682472
The Jew of Malta,BARABAS,1,none,6,"Than thus to pour out plenty in their laps,","['thus', 'pour', 'plenty', 'laps']",0.074597336
The Jew of Malta,BARABAS,1,none,7,"Ripping the bowels of the earth for them,","['Ripping', 'bowels', 'earth']",-0.410746213
The Jew of Malta,BARABAS,1,none,8,"Making the sea their servants, and the winds","['Making', 'sea', 'servants', 'winds']",-0.033393688
The Jew of Malta,BARABAS,1,none,9,To drive their substance with successful blasts?,"['drive', 'substance', 'successful', 'blasts']",-0.069695413
The Jew of Malta,BARABAS,1,none,10,Who hateth me but for my happiness?,"['hateth', 'happiness']",-0.458500013
The Jew of Malta,BARABAS,1,none,11,Or who is honour'd now but for his wealth?,"['honour', 'wealth']",-0.236708242
The Jew of Malta,BARABAS,1,none,12,"Rather had I, a Jew, be hated thus,","['Rather', 'Jew', 'hated', 'thus']",-0.604592014
The Jew of Malta,BARABAS,1,none,13,Than pitied in a Christian poverty;,"['pitied', 'Christian', 'poverty']",-0.461393081
The Jew of Malta,BARABAS,1,none,14,"For I can see no fruits in all their faith,","['see', 'fruits', 'faith']",-0.674623413
The Jew of Malta,BARABAS,1,none,15,"But malice, falsehood, and excessive pride,","['malice', 'falsehood', 'excessive', 'pride']",-0.711645154
The Jew of Malta,BARABAS,1,none,16,Which methinks fits not their profession.,"['methinks', 'fits', 'profession']",-0.617044592
The Jew of Malta,BARABAS,1,none,17,"Haply some hapless man hath conscience,","['Haply', 'hapless', 'man', 'conscience']",-0.358240817
The Jew of Malta,BARABAS,1,none,18,And for his conscience lives in beggary.,"['conscience', 'lives', 'beggary']",-0.61301725
The Jew of Malta,BARABAS,1,none,19,They say we are a scatter'd nation:,"['say', 'scatter', 'nation']",-0.493052267
The Jew of Malta,BARABAS,1,none,20,I cannot tell; but we have scambled up,"['tell', 'scambled']",-0.451334659
The Jew of Malta,BARABAS,1,none,21,More wealth by far than those that brag of faith:,"['wealth', 'far', 'brag', 'faith']",0.273945346
The Jew of Malta,BARABAS,1,none,22,"There's Kirriah Jairim, the great Jew of Greece,","['Kirriah', 'Jairim', 'great', 'Jew', 'Greece']",0.176547273
The Jew of Malta,BARABAS,1,none,23,"Obed in Bairseth, Nones in Portugal,","['Obed', 'Bairseth', 'Nones', 'Portugal']",-0.013408594
The Jew of Malta,BARABAS,1,none,24,"Myself in Malta, some in Italy,","['Malta', 'Italy']",0.064966129
The Jew of Malta,BARABAS,1,none,25,"Many in France, and wealthy every one;","['Many', 'France', 'wealthy', 'every', 'one']",0.508086278
The Jew of Malta,BARABAS,1,none,26,"Ay, wealthier far than any Christian.","['Ay', 'wealthier', 'far', 'Christian']",-0.295162667
The Jew of Malta,BARABAS,1,none,27,I must confess we come not to be kings:,"['must', 'confess', 'come', 'kings']",-0.381715328
The Jew of Malta,BARABAS,1,none,28,"That's not our fault:  alas, our number's few!","['fault', 'number']",-0.235896155
The Jew of Malta,BARABAS,1,none,29,"And crowns come either by succession,","['crowns', 'come', 'either', 'succession']",0.065073468
The Jew of Malta,BARABAS,1,none,30,"Or urg'd by force; and nothing violent,","['urg', 'force', 'nothing', 'violent']",-0.141586598
The Jew of Malta,BARABAS,1,none,31,"Oft have I heard tell, can be permanent.","['Oft', 'heard', 'tell', 'permanent']",-0.034489222
The Jew of Malta,BARABAS,1,none,32,"Give us a peaceful rule; make Christians kings,","['Give', 'peaceful', 'rule', 'make', 'Christians', 'kings']",0.142095894
The Jew of Malta,BARABAS,1,none,33,That thirst so much for principality.,"['thirst', 'much', 'principality']",0.095185414
The Jew of Malta,BARABAS,1,none,34,"I have no charge, nor many children,","['charge', 'many', 'children']",0.071717538
The Jew of Malta,BARABAS,1,none,35,"But one sole daughter, whom I hold as dear","['one', 'sole', 'daughter', 'hold', 'dear']",0.379002868
The Jew of Malta,BARABAS,1,none,36,As Agamemnon did his Iphigen;,"['Agamemnon', 'Iphigen']",-0.004685067
The Jew of Malta,BARABAS,1,none,37,And all I have is hers.?But who comes here?,"['\x94But', 'comes']",-0.18913836
The Jew of Malta,FIRST JEW,1,none,1,"Tush, tell not me; 'twas done of policy.","['Tush', 'tell', ""'t"", 'done', 'policy']",-0.283671603
The Jew of Malta,SECOND JEW,1,none,1,"Come, therefore, let us go to Barabas;","['Come', 'therefore', 'let', 'go', 'Barabas']",0.133182574
The Jew of Malta,SECOND JEW,1,none,2,For he can counsel best in these affairs:,"['counsel', 'best', 'affairs']",0.49427209
The Jew of Malta,SECOND JEW,1,none,3,And here he comes.,['comes'],-0.183828458
The Jew of Malta,BARABAS,1,none,1,"Why, how now, countrymen!",['countrymen'],-0.396784071
The Jew of Malta,BARABAS,1,none,2,Why flock you thus to me in multitudes?,"['flock', 'thus', 'multitudes']",-0.33023457
The Jew of Malta,BARABAS,1,none,3,What accident's betided to the Jews?,"['accident', 'betided', 'Jews']",-0.38795496
The Jew of Malta,FIRST JEW,1,none,1,"A fleet of warlike galleys, Barabas,","['fleet', 'warlike', 'galleys', 'Barabas']",-0.062013902
The Jew of Malta,FIRST JEW,1,none,2,"Are come from Turkey, and lie in our road:","['come', 'Turkey', 'lie', 'road']",-0.266568039
The Jew of Malta,FIRST JEW,1,none,3,And they this day sit in the council-house,"['day', 'sit', 'council-house']",-0.07479772
The Jew of Malta,FIRST JEW,1,none,4,To entertain them and their embassy.,"['entertain', 'embassy']",-0.200010106
The Jew of Malta,BARABAS,1,none,1,"Why, let 'em come, so they come not to war;","['let', ""'em"", 'come', 'come', 'war']",-0.068361633
The Jew of Malta,BARABAS,1,none,2,"Or let 'em war, so we be conquerors.","['let', ""'em"", 'war', 'conquerors']",-0.274620559
The Jew of Malta,BARABAS,1,none,3,"Nay, let 'em combat, conquer, and kill all,","['Nay', 'let', ""'em"", 'combat', 'conquer', 'kill']",-0.583153574
The Jew of Malta,BARABAS,1,none,4,"So they spare me, my daughter, and my wealth.","['spare', 'daughter', 'wealth']",-0.367785908
The Jew of Malta,FIRST JEW,1,none,1,"Were it for confirmation of a league,","['confirmation', 'league']",-0.00807929
The Jew of Malta,FIRST JEW,1,none,2,They would not come in warlike manner thus.,"['would', 'come', 'warlike', 'manner', 'thus']",-0.289576845
The Jew of Malta,SECOND JEW,1,none,1,I fear their coming will afflict us all.,"['fear', 'coming', 'afflict']",-0.927724687
The Jew of Malta,BARABAS,1,none,1,"Fond men, what dream you of their multitudes?","['Fond', 'men', 'dream', 'multitudes']",-0.027830072
The Jew of Malta,BARABAS,1,none,2,What need they treat of peace that are in league?,"['need', 'treat', 'peace', 'league']",-0.214695351
The Jew of Malta,BARABAS,1,none,3,The Turks and those of Malta are in league:,"['Turks', 'Malta', 'league']",0.027661607
The Jew of Malta,BARABAS,1,none,4,"Tut, tut, there is some other matter in't.","['Tut', 'tut', 'matter', ""n't""]",-0.233168297
The Jew of Malta,FIRST JEW,1,none,1,"Why, Barabas, they come for peace or war.","['Barabas', 'come', 'peace', 'war']",-0.224096466
The Jew of Malta,BARABAS,1,none,1,"Haply for neither, but to pass along,","['Haply', 'neither', 'pass', 'along']",0.109103203
The Jew of Malta,BARABAS,1,none,2,"Towards Venice, by the Adriatic sea,","['Towards', 'Venice', 'Adriatic', 'sea']",0.086102353
The Jew of Malta,BARABAS,1,none,3,"With whom they have attempted many times,","['attempted', 'many', 'times']",-0.054905221
The Jew of Malta,BARABAS,1,none,4,But never could effect their stratagem.,"['never', 'could', 'effect', 'stratagem']",-0.35010932
The Jew of Malta,THIRD JEW,1,none,1,And very wisely said; it may be so.,"['wisely', 'said', 'may']",0.500033938
The Jew of Malta,SECOND JEW,1,none,1,"But there's a meeting in the senate-house,","['meeting', 'senate-house']",-0.039557379
The Jew of Malta,SECOND JEW,1,none,2,And all the Jews in Malta must be there.,"['Jews', 'Malta', 'must']",-0.097347021
The Jew of Malta,BARABAS,1,none,1,"Hum,?all the Jews in Malta must be there!","['Hum', '\x94all', 'Jews', 'Malta', 'must']",-0.37632136
The Jew of Malta,BARABAS,1,none,2,"Ay, like enough:  why, then, let every man","['Ay', 'like', 'enough', 'let', 'every', 'man']",0.060122713
The Jew of Malta,BARABAS,1,none,3,"Provide him, and be there for fashion-sake.","['Provide', 'fashion-sake']",0.172120653
The Jew of Malta,BARABAS,1,none,4,"If any thing shall there concern our state,","['thing', 'shall', 'concern', 'state']",-0.070971847
The Jew of Malta,BARABAS,1,none,5,Assure yourselves I'll look?unto myself.,"['Assure', 'look', '\x94unto']",-0.167754747
The Jew of Malta,FIRST JEW,1,none,1,"I know you will.?Well, brethren, let us go.","['know', '\x94Well', 'brethren', 'let', 'go']",0.081247553
The Jew of Malta,SECOND JEW,1,none,1,"Let's take our leaves.?Farewell, good Barabas.","['Let', 'take', 'leaves', '\x94Farewell', 'good', 'Barabas']",0.630417585
The Jew of Malta,BARABAS,1,none,1,"And, Barabas, now search this secret out;","['Barabas', 'search', 'secret']",-0.033250585
The Jew of Malta,BARABAS,1,none,2,"Summon thy senses, call thy wits together:","['Summon', 'senses', 'call', 'wits', 'together']",-0.005263224
The Jew of Malta,BARABAS,1,none,3,These silly men mistake the matter clean.,"['silly', 'men', 'mistake', 'matter', 'clean']",-0.899034441
The Jew of Malta,BARABAS,1,none,4,Long to the Turk did Malta contribute;,"['Long', 'Turk', 'Malta', 'contribute']",0.004782923
The Jew of Malta,BARABAS,1,none,5,"Which tribute all in policy, I fear,","['tribute', 'policy', 'fear']",-0.287647668
The Jew of Malta,BARABAS,1,none,6,The Turk has  let increase to such a sum,"['Turk', 'let', 'increase', 'sum']",0.070237212
The Jew of Malta,BARABAS,1,none,7,As all the wealth of Malta cannot pay;,"['wealth', 'Malta', 'pay']",-0.505401535
The Jew of Malta,BARABAS,1,none,8,"And now by that advantage thinks, belike,","['advantage', 'thinks', 'belike']",-0.064794935
The Jew of Malta,BARABAS,1,none,9,"To seize upon the town; ay, that he seeks.","['seize', 'upon', 'town', 'ay', 'seeks']",-0.092454359
The Jew of Malta,BARABAS,1,none,10,"Howe'er the world go, I'll make sure for one,","[""Howe'er"", 'world', 'go', 'make', 'sure', 'one']",0.223788574
The Jew of Malta,BARABAS,1,none,11,"And seek in time to intercept the worst,","['seek', 'time', 'intercept', 'worst']",-0.133608468
The Jew of Malta,BARABAS,1,none,12,Warily guarding that which I ha' got:,"['Warily', 'guarding', 'ha', 'got']",-0.150243893
The Jew of Malta,BARABAS,1,none,13,Ego mihimet sum semper proximus:,"['Ego', 'mihimet', 'sum', 'semper', 'proximus']",-0.000128128
The Jew of Malta,BARABAS,1,none,14,"Why, let 'em enter, let 'em take the town.","['let', ""'em"", 'enter', 'let', ""'em"", 'take', 'town']",-0.18647851
The Jew of Malta,FERNEZE,1,none,1,"Now, bassoes,  what demand you at our hands?","['bassoes', 'demand', 'hands']",-0.341201538
The Jew of Malta,FIRST BASSO,1,none,1,"Know, knights of Malta, that we came from Rhodes,","['Know', 'knights', 'Malta', 'came', 'Rhodes']",0.009879921
The Jew of Malta,FIRST BASSO,1,none,2,"]From Cyprus, Candy, and those other isles","['Cyprus', 'Candy', 'isles']",-0.009929176
The Jew of Malta,FIRST BASSO,1,none,3,That lie betwixt the Mediterranean seas.,"['lie', 'betwixt', 'Mediterranean', 'seas']",-0.330271222
The Jew of Malta,FERNEZE,1,none,1,"What's Cyprus, Candy, and those other isles","['Cyprus', 'Candy', 'isles']",-0.052920043
The Jew of Malta,FERNEZE,1,none,2,To us or Malta? what at our hands demand ye?,"['Malta', 'hands', 'demand']",-0.132963536
The Jew of Malta,CALYMATH,1,none,1,The ten years' tribute that remains unpaid.,"['ten', 'years', 'tribute', 'remains', 'unpaid']",-0.680886129
The Jew of Malta,FERNEZE,1,none,1,"Alas, my lord, the sum is over-great!","['lord', 'sum', 'over-great']",-0.546885192
The Jew of Malta,FERNEZE,1,none,2,I hope your highness will consider us.,"['hope', 'highness', 'consider']",0.708999927
The Jew of Malta,CALYMATH,1,none,1,"I wish, grave governor,  'twere in my power","['wish', 'grave', 'governor', ""'twere"", 'power']",0.198673371
The Jew of Malta,CALYMATH,1,none,2,"To favour you; but 'tis my father's cause,","['favour', ""'t"", 'father', 'cause']",0.113782723
The Jew of Malta,CALYMATH,1,none,3,"Wherein I may not, nay, I dare not dally.","['Wherein', 'may', 'nay', 'dare', 'dally']",-0.31123719
The Jew of Malta,FERNEZE,1,none,1,"Then give us leave, great Selim Calymath.","['give', 'leave', 'great', 'Selim', 'Calymath']",0.077034809
The Jew of Malta,CALYMATH,1,none,1,"Stand all aside,  and let the knights determine;","['Stand', 'aside', 'let', 'knights', 'determine']",0.00767339
The Jew of Malta,CALYMATH,1,none,2,"And send to keep our galleys under sail,","['send', 'keep', 'galleys', 'sail']",0.015051462
The Jew of Malta,CALYMATH,1,none,3,For happily  we shall not tarry here.,"['happily', 'shall', 'tarry']",0.704046642
The Jew of Malta,CALYMATH,1,none,4,"Now, governor, how are you resolv'd?","['governor', 'resolv']",-0.10343105
The Jew of Malta,FERNEZE,1,none,1,Thus; since your hard conditions are such,"['Thus', 'since', 'hard', 'conditions']",-0.166288003
The Jew of Malta,FERNEZE,1,none,2,"That you will needs have ten years' tribute past,","['needs', 'ten', 'years', 'tribute', 'past']",-0.025877699
The Jew of Malta,FERNEZE,1,none,3,We may have time to make collection,"['may', 'time', 'make', 'collection']",0.306423013
The Jew of Malta,FERNEZE,1,none,4,Amongst the inhabitants of Malta for't.,"['Amongst', 'inhabitants', 'Malta', ""for't""]",-0.271039931
The Jew of Malta,FIRST BASSO,1,none,1,That's more than is in our commission.,['commission'],0.163620409
The Jew of Malta,CALYMATH,1,none,1,"What, Callapine! a little courtesy:","['Callapine', 'little', 'courtesy']",0.144723855
