Column1,play_name,genre,character,act,scene,sentence,text,sex
19767,The Merchant of Venice,Comedy,Antonio,1,1,140,"Within the eye of honour, be assured,",male
19768,The Merchant of Venice,Comedy,Antonio,1,1,141,"My purse, my person, my extremest means,",male
19769,The Merchant of Venice,Comedy,Antonio,1,1,142,Lie all unlock'd to your occasions.,male
19770,The Merchant of Venice,Comedy,Bassanio,1,1,143,"In my school-days, when I had lost one shaft,",male
19771,The Merchant of Venice,Comedy,Bassanio,1,1,144,I shot his fellow of the self-same flight,male
19772,The Merchant of Venice,Comedy,Bassanio,1,1,145,"The self-same way with more advised watch,",male
19773,The Merchant of Venice,Comedy,Bassanio,1,1,146,"To find the other forth, and by adventuring both",male
19774,The Merchant of Venice,Comedy,Bassanio,1,1,147,"I oft found both: I urge this childhood proof,",male
19775,The Merchant of Venice,Comedy,Bassanio,1,1,148,Because what follows is pure innocence.,male
19776,The Merchant of Venice,Comedy,Bassanio,1,1,149,"I owe you much, and, like a wilful youth,",male
19777,The Merchant of Venice,Comedy,Bassanio,1,1,150,That which I owe is lost; but if you please,male
19778,The Merchant of Venice,Comedy,Bassanio,1,1,151,To shoot another arrow that self way,male
19779,The Merchant of Venice,Comedy,Bassanio,1,1,152,"Which you did shoot the first, I do not doubt,",male
19780,The Merchant of Venice,Comedy,Bassanio,1,1,153,"As I will watch the aim, or to find both",male
19781,The Merchant of Venice,Comedy,Bassanio,1,1,154,Or bring your latter hazard back again,male
19782,The Merchant of Venice,Comedy,Bassanio,1,1,155,And thankfully rest debtor for the first.,male
19783,The Merchant of Venice,Comedy,Antonio,1,1,156,"You know me well, and herein spend but time",male
19784,The Merchant of Venice,Comedy,Antonio,1,1,157,To wind about my love with circumstance;,male
19785,The Merchant of Venice,Comedy,Antonio,1,1,158,And out of doubt you do me now more wrong,male
19786,The Merchant of Venice,Comedy,Antonio,1,1,159,In making question of my uttermost,male
19787,The Merchant of Venice,Comedy,Antonio,1,1,160,Than if you had made waste of all I have:,male
19788,The Merchant of Venice,Comedy,Antonio,1,1,161,Then do but say to me what I should do,male
19789,The Merchant of Venice,Comedy,Antonio,1,1,162,"That in your knowledge may by me be done,",male
19790,The Merchant of Venice,Comedy,Antonio,1,1,163,"And I am prest unto it: therefore, speak.",male
19791,The Merchant of Venice,Comedy,Bassanio,1,1,164,In Belmont is a lady richly left;,male
19792,The Merchant of Venice,Comedy,Bassanio,1,1,165,"And she is fair, and, fairer than that word,",male
19793,The Merchant of Venice,Comedy,Bassanio,1,1,166,Of wondrous virtues: sometimes from her eyes,male
19794,The Merchant of Venice,Comedy,Bassanio,1,1,167,I did receive fair speechless messages:,male
19795,The Merchant of Venice,Comedy,Bassanio,1,1,168,"Her name is Portia, nothing undervalued",male
19796,The Merchant of Venice,Comedy,Bassanio,1,1,169,"To Cato's daughter, Brutus' Portia:",male
19797,The Merchant of Venice,Comedy,Bassanio,1,1,170,"Nor is the wide world ignorant of her worth,",male
19798,The Merchant of Venice,Comedy,Bassanio,1,1,171,For the four winds blow in from every coast,male
19799,The Merchant of Venice,Comedy,Bassanio,1,1,172,"Renowned suitors, and her sunny locks",male
19800,The Merchant of Venice,Comedy,Bassanio,1,1,173,Hang on her temples like a golden fleece;,male
19801,The Merchant of Venice,Comedy,Bassanio,1,1,174,"Which makes her seat of Belmont Colchos' strand,",male
19802,The Merchant of Venice,Comedy,Bassanio,1,1,175,And many Jasons come in quest of her.,male
19803,The Merchant of Venice,Comedy,Bassanio,1,1,176,"O my Antonio, had I but the means",male
19804,The Merchant of Venice,Comedy,Bassanio,1,1,177,"To hold a rival place with one of them,",male
19805,The Merchant of Venice,Comedy,Bassanio,1,1,178,"I have a mind presages me such thrift,",male
19806,The Merchant of Venice,Comedy,Bassanio,1,1,179,That I should questionless be fortunate!,male
19807,The Merchant of Venice,Comedy,Antonio,1,1,180,Thou know'st that all my fortunes are at sea;,male
19808,The Merchant of Venice,Comedy,Antonio,1,1,181,Neither have I money nor commodity,male
19809,The Merchant of Venice,Comedy,Antonio,1,1,182,To raise a present sum: therefore go forth;,male
19810,The Merchant of Venice,Comedy,Antonio,1,1,183,Try what my credit can in Venice do:,male
19811,The Merchant of Venice,Comedy,Antonio,1,1,184,"That shall be rack'd, even to the uttermost,",male
19812,The Merchant of Venice,Comedy,Antonio,1,1,185,"To furnish thee to Belmont, to fair Portia.",male
19813,The Merchant of Venice,Comedy,Antonio,1,1,186,"Go, presently inquire, and so will I,",male
19814,The Merchant of Venice,Comedy,Antonio,1,1,187,"Where money is, and I no question make",male
19815,The Merchant of Venice,Comedy,Antonio,1,1,188,To have it of my trust or for my sake.,male
19816,The Merchant of Venice,Comedy,Antonio,1,1,189,SCENE II: Belmont. A room in PORTIA'S house.,male
19817,The Merchant of Venice,Comedy,Portia,1,1,190,"By my troth, Nerissa, my little body is aweary of",female
19818,The Merchant of Venice,Comedy,Portia,1,1,191,this great world.,female
19819,The Merchant of Venice,Comedy,Nerissa,1,1,192,"You would be, sweet madam, if your miseries were in",female
19820,The Merchant of Venice,Comedy,Nerissa,1,1,193,the same abundance as your good fortunes are: and,female
19821,The Merchant of Venice,Comedy,Nerissa,1,1,194,"yet, for aught I see, they are as sick that surfeit",female
19822,The Merchant of Venice,Comedy,Nerissa,1,1,195,with too much as they that starve with nothing. It,female
19823,The Merchant of Venice,Comedy,Nerissa,1,1,196,"is no mean happiness therefore, to be seated in the",female
19824,The Merchant of Venice,Comedy,Nerissa,1,1,197,"mean: superfluity comes sooner by white hairs, but",female
19825,The Merchant of Venice,Comedy,Nerissa,1,1,198,competency lives longer.,female
19826,The Merchant of Venice,Comedy,Portia,1,1,199,Good sentences and well pronounced.,female
19827,The Merchant of Venice,Comedy,Nerissa,1,1,200,"They would be better, if well followed.",female
19828,The Merchant of Venice,Comedy,Portia,1,1,201,If to do were as easy as to know what were good to,female
19829,The Merchant of Venice,Comedy,Portia,1,1,202,"do, chapels had been churches and poor men's",female
19830,The Merchant of Venice,Comedy,Portia,1,1,203,cottages princes' palaces. It is a good divine that,female
19831,The Merchant of Venice,Comedy,Portia,1,1,204,follows his own instructions: I can easier teach,female
19832,The Merchant of Venice,Comedy,Portia,1,1,205,"twenty what were good to be done, than be one of the",female
19833,The Merchant of Venice,Comedy,Portia,1,1,206,twenty to follow mine own teaching. The brain may,female
19834,The Merchant of Venice,Comedy,Portia,1,1,207,"devise laws for the blood, but a hot temper leaps",female
19835,The Merchant of Venice,Comedy,Portia,1,1,208,o'er a cold decree: such a hare is madness the,female
19836,The Merchant of Venice,Comedy,Portia,1,1,209,"youth, to skip o'er the meshes of good counsel the",female
19837,The Merchant of Venice,Comedy,Portia,1,1,210,cripple. But this reasoning is not in the fashion to,female
19838,The Merchant of Venice,Comedy,Portia,1,1,211,"choose me a husband. O me, the word 'choose!' I may",female
19839,The Merchant of Venice,Comedy,Portia,1,1,212,neither choose whom I would nor refuse whom I,female
19840,The Merchant of Venice,Comedy,Portia,1,1,213,dislike; so is the will of a living daughter curbed,female
19841,The Merchant of Venice,Comedy,Portia,1,1,214,"by the will of a dead father. Is it not hard,",female
19842,The Merchant of Venice,Comedy,Portia,1,1,215,"Nerissa, that I cannot choose one nor refuse none?",female
19843,The Merchant of Venice,Comedy,Nerissa,1,1,216,Your father was ever virtuous; and holy men at their,female
19844,The Merchant of Venice,Comedy,Nerissa,1,1,217,"death have good inspirations: therefore the lottery,",female
19845,The Merchant of Venice,Comedy,Nerissa,1,1,218,"that he hath devised in these three chests of gold,",female
19846,The Merchant of Venice,Comedy,Nerissa,1,1,219,"silver and lead, whereof who chooses his meaning",female
19847,The Merchant of Venice,Comedy,Nerissa,1,1,220,"chooses you, will, no doubt, never be chosen by any",female
19848,The Merchant of Venice,Comedy,Nerissa,1,1,221,rightly but one who shall rightly love. But what,female
19849,The Merchant of Venice,Comedy,Nerissa,1,1,222,warmth is there in your affection towards any of,female
19850,The Merchant of Venice,Comedy,Nerissa,1,1,223,these princely suitors that are already come?,female
19851,The Merchant of Venice,Comedy,Portia,1,1,224,"I pray thee, over-name them; and as thou namest",female
19852,The Merchant of Venice,Comedy,Portia,1,1,225,"them, I will describe them; and, according to my",female
19853,The Merchant of Venice,Comedy,Portia,1,1,226,"description, level at my affection.",female
19854,The Merchant of Venice,Comedy,Nerissa,1,1,227,"First, there is the Neapolitan prince.",female
19855,The Merchant of Venice,Comedy,Portia,1,1,228,"Ay, that's a colt indeed, for he doth nothing but",female
19856,The Merchant of Venice,Comedy,Portia,1,1,229,talk of his horse; and he makes it a great,female
19857,The Merchant of Venice,Comedy,Portia,1,1,230,"appropriation to his own good parts, that he can",female
19858,The Merchant of Venice,Comedy,Portia,1,1,231,shoe him himself. I am much afeard my lady his,female
19859,The Merchant of Venice,Comedy,Portia,1,1,232,mother played false with a smith.,female
19860,The Merchant of Venice,Comedy,Nerissa,1,1,233,Then there is the County Palatine.,female
19861,The Merchant of Venice,Comedy,Portia,1,1,234,"He doth nothing but frown, as who should say 'If you",female
19862,The Merchant of Venice,Comedy,Portia,1,1,235,"will not have me, choose:' he hears merry tales and",female
19863,The Merchant of Venice,Comedy,Portia,1,1,236,smiles not: I fear he will prove the weeping,female
19864,The Merchant of Venice,Comedy,Portia,1,1,237,"philosopher when he grows old, being so full of",female
19865,The Merchant of Venice,Comedy,Portia,1,1,238,unmannerly sadness in his youth. I had rather be,female
19866,The Merchant of Venice,Comedy,Portia,1,1,239,married to a death's-head with a bone in his mouth,female
19867,The Merchant of Venice,Comedy,Portia,1,1,240,than to either of these. God defend me from these,female
19868,The Merchant of Venice,Comedy,Portia,1,1,241,two!,female
19869,The Merchant of Venice,Comedy,Nerissa,1,1,242,"How say you by the French lord, Monsieur Le Bon?",female
19870,The Merchant of Venice,Comedy,Portia,1,1,243,"God made him, and therefore let him pass for a man.",female
19871,The Merchant of Venice,Comedy,Portia,1,1,244,"In truth, I know it is a sin to be a mocker: but,",female
19872,The Merchant of Venice,Comedy,Portia,1,1,245,"he! why, he hath a horse better than the",female
19873,The Merchant of Venice,Comedy,Portia,1,1,246,"Neapolitan's, a better bad habit of frowning than",female
19874,The Merchant of Venice,Comedy,Portia,1,1,247,the Count Palatine; he is every man in no man; if a,female
19875,The Merchant of Venice,Comedy,Portia,1,1,248,"throstle sing, he falls straight a capering: he will",female
19876,The Merchant of Venice,Comedy,Portia,1,1,249,"fence with his own shadow: if I should marry him, I",female
19877,The Merchant of Venice,Comedy,Portia,1,1,250,should marry twenty husbands. If he would despise me,female
19878,The Merchant of Venice,Comedy,Portia,1,1,251,"I would forgive him, for if he love me to madness, I",female
19879,The Merchant of Venice,Comedy,Portia,1,1,252,shall never requite him.,female
19880,The Merchant of Venice,Comedy,Nerissa,1,1,253,"What say you, then, to Falconbridge, the young baron",female
19881,The Merchant of Venice,Comedy,Nerissa,1,1,254,of England?,female
19882,The Merchant of Venice,Comedy,Portia,1,1,255,"You know I say nothing to him, for he understands",female
19883,The Merchant of Venice,Comedy,Portia,1,1,256,"not me, nor I him: he hath neither Latin, French,",female
19884,The Merchant of Venice,Comedy,Portia,1,1,257,"nor Italian, and you will come into the court and",female
19885,The Merchant of Venice,Comedy,Portia,1,1,258,swear that I have a poor pennyworth in the English.,female
19886,The Merchant of Venice,Comedy,Portia,1,1,259,"He is a proper man's picture, but, alas, who can",female
19887,The Merchant of Venice,Comedy,Portia,1,1,260,converse with a dumb-show? How oddly he is suited!,female
19888,The Merchant of Venice,Comedy,Portia,1,1,261,"I think he bought his doublet in Italy, his round",female
19889,The Merchant of Venice,Comedy,Portia,1,1,262,"hose in France, his bonnet in Germany and his",female
19890,The Merchant of Venice,Comedy,Portia,1,1,263,behavior every where.,female
19891,The Merchant of Venice,Comedy,Nerissa,1,1,264,"What think you of the Scottish lord, his neighbour?",female
19892,The Merchant of Venice,Comedy,Portia,1,1,265,"That he hath a neighbourly charity in him, for he",female
19893,The Merchant of Venice,Comedy,Portia,1,1,266,borrowed a box of the ear of the Englishman and,female
19894,The Merchant of Venice,Comedy,Portia,1,1,267,swore he would pay him again when he was able: I,female
19895,The Merchant of Venice,Comedy,Portia,1,1,268,think the Frenchman became his surety and sealed,female
19896,The Merchant of Venice,Comedy,Portia,1,1,269,under for another.,female
19897,The Merchant of Venice,Comedy,Nerissa,1,1,270,"How like you the young German, the Duke of Saxony's nephew?",female
19898,The Merchant of Venice,Comedy,Portia,1,1,271,"Very vilely in the morning, when he is sober, and",female
19899,The Merchant of Venice,Comedy,Portia,1,1,272,"most vilely in the afternoon, when he is drunk: when",female
19900,The Merchant of Venice,Comedy,Portia,1,1,273,"he is best, he is a little worse than a man, and",female
19901,The Merchant of Venice,Comedy,Portia,1,1,274,"when he is worst, he is little better than a beast:",female
19902,The Merchant of Venice,Comedy,Portia,1,1,275,"and the worst fall that ever fell, I hope I shall",female
19903,The Merchant of Venice,Comedy,Portia,1,1,276,make shift to go without him.,female
19904,The Merchant of Venice,Comedy,Nerissa,1,1,277,"If he should offer to choose, and choose the right",female
19905,The Merchant of Venice,Comedy,Nerissa,1,1,278,"casket, you should refuse to perform your father's",female
19906,The Merchant of Venice,Comedy,Nerissa,1,1,279,"will, if you should refuse to accept him.",female
19907,The Merchant of Venice,Comedy,Portia,1,1,280,"Therefore, for fear of the worst, I pray thee, set a",female
19908,The Merchant of Venice,Comedy,Portia,1,1,281,"deep glass of rhenish wine on the contrary casket,",female
19909,The Merchant of Venice,Comedy,Portia,1,1,282,for if the devil be within and that temptation,female
19910,The Merchant of Venice,Comedy,Portia,1,1,283,"without, I know he will choose it. I will do any",female
19911,The Merchant of Venice,Comedy,Portia,1,1,284,"thing, Nerissa, ere I'll be married to a sponge.",female
19912,The Merchant of Venice,Comedy,Nerissa,1,1,285,"You need not fear, lady, the having any of these",female
19913,The Merchant of Venice,Comedy,Nerissa,1,1,286,lords: they have acquainted me with their,female
19914,The Merchant of Venice,Comedy,Nerissa,1,1,287,"determinations; which is, indeed, to return to their",female
19915,The Merchant of Venice,Comedy,Nerissa,1,1,288,"home and to trouble you with no more suit, unless",female
19916,The Merchant of Venice,Comedy,Nerissa,1,1,289,you may be won by some other sort than your father's,female
19917,The Merchant of Venice,Comedy,Nerissa,1,1,290,imposition depending on the caskets.,female
19918,The Merchant of Venice,Comedy,Portia,1,1,291,"If I live to be as old as Sibylla, I will die as",female
19919,The Merchant of Venice,Comedy,Portia,1,1,292,"chaste as Diana, unless I be obtained by the manner",female
19920,The Merchant of Venice,Comedy,Portia,1,1,293,of my father's will. I am glad this parcel of wooers,female
19921,The Merchant of Venice,Comedy,Portia,1,1,294,"are so reasonable, for there is not one among them",female
