play_name,genre,character,act,scene,sentence,text,tokens
Richard III,History,Gloucester,1,1,79,Humbly complaining to her deity,"['Humbly', 'complaining', 'deity']"
Richard III,History,Gloucester,1,1,80,Got my lord chamberlain his liberty.,"['Got', 'lord', 'chamberlain', 'liberty']"
Richard III,History,Gloucester,1,1,81,"I'll tell you what; I think it is our way,","['tell', 'think', 'way']"
Richard III,History,Gloucester,1,1,82,"If we will keep in favour with the king,","['keep', 'favour', 'king']"
Richard III,History,Gloucester,1,1,83,To be her men and wear her livery:,"['men', 'wear', 'livery']"
Richard III,History,Gloucester,1,1,84,"The jealous o'erworn widow and herself,","['jealous', ""o'erworn"", 'widow']"
Richard III,History,Gloucester,1,1,85,Since that our brother dubb'd them gentlewomen.,"['Since', 'brother', 'dubb', 'gentlewomen']"
Richard III,History,Gloucester,1,1,86,Are mighty gossips in this monarchy.,"['mighty', 'gossips', 'monarchy']"
Richard III,History,Brakenbury,1,1,87,I beseech your graces both to pardon me;,"['beseech', 'graces', 'pardon']"
Richard III,History,Brakenbury,1,1,88,His majesty hath straitly given in charge,"['majesty', 'straitly', 'given', 'charge']"
Richard III,History,Brakenbury,1,1,89,"That no man shall have private conference,","['man', 'shall', 'private', 'conference']"
Richard III,History,Brakenbury,1,1,90,"Of what degree soever, with his brother.","['degree', 'soever', 'brother']"
Richard III,History,Gloucester,1,1,91,"Even so; an't please your worship, Brakenbury,","['Even', ""n't"", 'please', 'worship']"
Richard III,History,Gloucester,1,1,92,You may partake of any thing we say:,"['may', 'partake', 'thing', 'say']"
Richard III,History,Gloucester,1,1,93,"We speak no treason, man: we say the king","['speak', 'treason', 'man', 'say', 'king']"
Richard III,History,Gloucester,1,1,94,"Is wise and virtuous, and his noble queen","['wise', 'virtuous', 'noble', 'queen']"
Richard III,History,Gloucester,1,1,95,"Well struck in years, fair, and not jealous;","['Well', 'struck', 'years', 'fair', 'jealous']"
Richard III,History,Gloucester,1,1,96,"We say that Shore's wife hath a pretty foot,","['say', 'Shore', 'wife', 'pretty', 'foot']"
Richard III,History,Gloucester,1,1,97,"A cherry lip, a bonny eye, a passing pleasing tongue;","['cherry', 'lip', 'bonny', 'eye', 'passing', 'pleasing', 'tongue']"
Richard III,History,Gloucester,1,1,98,And that the queen's kindred are made gentle-folks:,"['queen', 'kindred', 'made', 'gentle-folks']"
Richard III,History,Gloucester,1,1,99,How say you sir? Can you deny all this?,"['say', 'sir', 'deny']"
Richard III,History,Brakenbury,1,1,100,"With this, my lord, myself have nought to do.","['lord', 'nought']"
Richard III,History,Gloucester,1,1,101,"Naught to do with mistress Shore! I tell thee, fellow,","['Naught', 'mistress', 'Shore', 'tell', 'fellow']"
Richard III,History,Gloucester,1,1,102,"He that doth naught with her, excepting one,","['doth', 'naught', 'excepting', 'one']"
Richard III,History,Gloucester,1,1,103,"Were best he do it secretly, alone.","['best', 'secretly', 'alone']"
Richard III,History,Brakenbury,1,1,104,"What one, my lord?","['one', 'lord']"
Richard III,History,Gloucester,1,1,105,"Her husband, knave: wouldst thou betray me?","['husband', 'knave', 'betray']"
Richard III,History,Brakenbury,1,1,106,"I beseech your grace to pardon me, and withal","['beseech', 'grace', 'pardon', 'withal']"
Richard III,History,Brakenbury,1,1,107,Forbear your conference with the noble duke.,"['Forbear', 'conference', 'noble', 'duke']"
Richard III,History,Clarence,1,1,108,"We know thy charge, Brakenbury, and will obey.","['know', 'charge', 'obey']"
Richard III,History,Gloucester,1,1,109,"We are the queen's abjects, and must obey.","['queen', 'abjects', 'must', 'obey']"
Richard III,History,Gloucester,1,1,110,"Brother, farewell: I will unto the king;","['Brother', 'farewell', 'unto', 'king']"
Richard III,History,Gloucester,1,1,111,"And whatsoever you will employ me in,","['whatsoever', 'employ']"
Richard III,History,Gloucester,1,1,112,"Were it to call King Edward's widow sister,","['call', 'King', 'Edward', 'widow', 'sister']"
Richard III,History,Gloucester,1,1,113,I will perform it to enfranchise you.,"['perform', 'enfranchise']"
Richard III,History,Gloucester,1,1,114,"Meantime, this deep disgrace in brotherhood","['Meantime', 'deep', 'disgrace', 'brotherhood']"
Richard III,History,Gloucester,1,1,115,Touches me deeper than you can imagine.,"['Touches', 'deeper', 'imagine']"
Richard III,History,Clarence,1,1,116,I know it pleaseth neither of us well.,"['know', 'pleaseth', 'neither', 'well']"
Richard III,History,Gloucester,1,1,117,"Well, your imprisonment shall not be long;","['Well', 'imprisonment', 'shall', 'long']"
Richard III,History,Gloucester,1,1,118,"Meantime, have patience.","['Meantime', 'patience']"
Richard III,History,Clarence,1,1,119,I must perforce. Farewell.,"['must', 'perforce', 'Farewell']"
Richard III,History,Gloucester,1,1,120,"Go, tread the path that thou shalt ne'er return.","['Go', 'tread', 'path', 'shalt', ""ne'er"", 'return']"
Richard III,History,Gloucester,1,1,121,"Simple, plain Clarence! I do love thee so,","['Simple', 'plain', 'love']"
Richard III,History,Gloucester,1,1,122,"That I will shortly send thy soul to heaven,","['shortly', 'send', 'soul', 'heaven']"
Richard III,History,Gloucester,1,1,123,If heaven will take the present at our hands.,"['heaven', 'take', 'present', 'hands']"
Richard III,History,Gloucester,1,1,124,But who comes here? the new-deliver'd Hastings?,"['comes', 'new-deliver']"
Richard III,History,Hastings,1,1,125,Good time of day unto my gracious lord!,"['Good', 'time', 'day', 'unto', 'gracious', 'lord']"
Richard III,History,Gloucester,1,1,126,As much unto my good lord chamberlain!,"['much', 'unto', 'good', 'lord', 'chamberlain']"
Richard III,History,Gloucester,1,1,127,Well are you welcome to the open air.,"['Well', 'welcome', 'open', 'air']"
Richard III,History,Gloucester,1,1,128,How hath your lordship brook'd imprisonment?,"['lordship', 'brook', 'imprisonment']"
Richard III,History,Hastings,1,1,129,"With patience, noble lord, as prisoners must:","['patience', 'noble', 'lord', 'prisoners', 'must']"
Richard III,History,Hastings,1,1,130,"But I shall live, my lord, to give them thanks","['shall', 'live', 'lord', 'give', 'thanks']"
Richard III,History,Hastings,1,1,131,That were the cause of my imprisonment.,"['cause', 'imprisonment']"
Richard III,History,Gloucester,1,1,132,"No doubt, no doubt; and so shall Clarence too;","['doubt', 'doubt', 'shall']"
Richard III,History,Gloucester,1,1,133,"For they that were your enemies are his,",['enemies']
Richard III,History,Gloucester,1,1,134,And have prevail'd as much on him as you.,"['prevail', 'much']"
Richard III,History,Hastings,1,1,135,"More pity that the eagle should be mew'd,","['pity', 'eagle', 'mew']"
Richard III,History,Hastings,1,1,136,While kites and buzzards prey at liberty.,"['kites', 'buzzards', 'prey', 'liberty']"
Richard III,History,Gloucester,1,1,137,What news abroad?,"['news', 'abroad']"
Richard III,History,Hastings,1,1,138,No news so bad abroad as this at home;,"['news', 'bad', 'abroad', 'home']"
Richard III,History,Hastings,1,1,139,"The King is sickly, weak and melancholy,","['King', 'sickly', 'weak', 'melancholy']"
Richard III,History,Hastings,1,1,140,And his physicians fear him mightily.,"['physicians', 'fear', 'mightily']"
Richard III,History,Gloucester,1,1,141,"Now, by Saint Paul, this news is bad indeed.","['Saint', 'Paul', 'news', 'bad', 'indeed']"
Richard III,History,Gloucester,1,1,142,"O, he hath kept an evil diet long,","['kept', 'evil', 'diet', 'long']"
Richard III,History,Gloucester,1,1,143,And overmuch consumed his royal person:,"['overmuch', 'consumed', 'royal', 'person']"
Richard III,History,Gloucester,1,1,144,'Tis very grievous to be thought upon.,"[""'T"", 'grievous', 'thought', 'upon']"
Richard III,History,Gloucester,1,1,145,"What, is he in his bed?",['bed']
Richard III,History,Hastings,1,1,146,He is.,[]
Richard III,History,Gloucester,1,1,147,"Go you before, and I will follow you.","['Go', 'follow']"
Richard III,History,Gloucester,1,1,148,"He cannot live, I hope; and must not die","['live', 'hope', 'must', 'die']"
Richard III,History,Gloucester,1,1,149,Till George be pack'd with post-horse up to heaven.,"['Till', 'George', 'pack', 'post-horse', 'heaven']"
Richard III,History,Gloucester,1,1,150,"I'll in, to urge his hatred more to Clarence,","['urge', 'hatred']"
Richard III,History,Gloucester,1,1,151,With lies well steel'd with weighty arguments;,"['lies', 'well', 'steel', 'weighty', 'arguments']"
Richard III,History,Gloucester,1,1,152,"And, if I fall not in my deep intent,","['fall', 'deep', 'intent']"
Richard III,History,Gloucester,1,1,153,Clarence hath not another day to live:,"['another', 'day', 'live']"
Richard III,History,Gloucester,1,1,154,"Which done, God take King Edward to his mercy,","['done', 'God', 'take', 'King', 'Edward', 'mercy']"
Richard III,History,Gloucester,1,1,155,And leave the world for me to bustle in!,"['leave', 'world', 'bustle']"
Richard III,History,Gloucester,1,1,156,For then I'll marry Warwick's youngest daughter.,"['marry', 'Warwick', 'youngest', 'daughter']"
Richard III,History,Gloucester,1,1,157,What though I kill'd her husband and her father?,"['though', 'kill', 'husband', 'father']"
Richard III,History,Gloucester,1,1,158,The readiest way to make the wench amends,"['readiest', 'way', 'make', 'wench', 'amends']"
Richard III,History,Gloucester,1,1,159,Is to become her husband and her father:,"['become', 'husband', 'father']"
Richard III,History,Gloucester,1,1,160,The which will I; not all so much for love,"['much', 'love']"
Richard III,History,Gloucester,1,1,161,"As for another secret close intent,","['another', 'secret', 'close', 'intent']"
Richard III,History,Gloucester,1,1,162,By marrying her which I must reach unto.,"['marrying', 'must', 'reach', 'unto']"
Richard III,History,Gloucester,1,1,163,But yet I run before my horse to market:,"['yet', 'run', 'horse', 'market']"
Richard III,History,Gloucester,1,1,164,Clarence still breathes; Edward still lives and reigns:,"['still', 'breathes', 'Edward', 'still', 'lives', 'reigns']"
Richard III,History,Gloucester,1,1,165,"When they are gone, then must I count my gains.","['gone', 'must', 'count', 'gains']"
Richard III,History,Lady Anne,1,2,1,"Set down, set down your honourable load,","['Set', 'set', 'honourable', 'load']"
Richard III,History,Lady Anne,1,2,2,"If honour may be shrouded in a hearse,","['honour', 'may', 'shrouded', 'hearse']"
Richard III,History,Lady Anne,1,2,3,Whilst I awhile obsequiously lament,"['Whilst', 'awhile', 'obsequiously', 'lament']"
Richard III,History,Lady Anne,1,2,4,The untimely fall of virtuous Lancaster.,"['untimely', 'fall', 'virtuous', 'Lancaster']"
Richard III,History,Lady Anne,1,2,5,Poor key-cold figure of a holy king!,"['Poor', 'key-cold', 'figure', 'holy', 'king']"
Richard III,History,Lady Anne,1,2,6,Pale ashes of the house of Lancaster!,"['Pale', 'ashes', 'house', 'Lancaster']"
Richard III,History,Lady Anne,1,2,7,Thou bloodless remnant of that royal blood!,"['bloodless', 'remnant', 'royal', 'blood']"
Richard III,History,Lady Anne,1,2,8,"Be it lawful that I invocate thy ghost,","['lawful', 'invocate', 'ghost']"
Richard III,History,Lady Anne,1,2,9,"To hear the lamentations of Poor Anne,","['hear', 'lamentations', 'Poor', 'Anne']"
Richard III,History,Lady Anne,1,2,10,"Wife to thy Edward, to thy slaughter'd son,","['Wife', 'Edward', 'slaughter', 'son']"
Richard III,History,Lady Anne,1,2,11,Stabb'd by the selfsame hand that made these wounds!,"['Stabb', 'selfsame', 'hand', 'made', 'wounds']"
Richard III,History,Lady Anne,1,2,12,"Lo, in these windows that let forth thy life,","['Lo', 'windows', 'let', 'forth', 'life']"
Richard III,History,Lady Anne,1,2,13,I pour the helpless balm of my poor eyes.,"['pour', 'helpless', 'balm', 'poor', 'eyes']"
Richard III,History,Lady Anne,1,2,14,Cursed be the hand that made these fatal holes!,"['Cursed', 'hand', 'made', 'fatal', 'holes']"
Richard III,History,Lady Anne,1,2,15,Cursed be the heart that had the heart to do it!,"['Cursed', 'heart', 'heart']"
Richard III,History,Lady Anne,1,2,16,Cursed the blood that let this blood from hence!,"['Cursed', 'blood', 'let', 'blood']"
Richard III,History,Lady Anne,1,2,17,"More direful hap betide that hated wretch,","['direful', 'hap', 'betide', 'hated', 'wretch']"
Richard III,History,Lady Anne,1,2,18,"That makes us wretched by the death of thee,","['makes', 'wretched', 'death']"
Richard III,History,Lady Anne,1,2,19,"Than I can wish to adders, spiders, toads,","['wish', 'adders', 'spiders', 'toads']"
Richard III,History,Lady Anne,1,2,20,Or any creeping venom'd thing that lives!,"['creeping', 'venom', 'thing', 'lives']"
Richard III,History,Lady Anne,1,2,21,"If ever he have child, abortive be it,","['ever', 'child', 'abortive']"
Richard III,History,Lady Anne,1,2,22,"Prodigious, and untimely brought to light,","['Prodigious', 'untimely', 'brought', 'light']"
Richard III,History,Lady Anne,1,2,23,Whose ugly and unnatural aspect,"['Whose', 'ugly', 'unnatural', 'aspect']"
Richard III,History,Lady Anne,1,2,24,May fright the hopeful mother at the view;,"['May', 'fright', 'hopeful', 'mother', 'view']"
Richard III,History,Lady Anne,1,2,25,And that be heir to his unhappiness!,"['heir', 'unhappiness']"
Richard III,History,Lady Anne,1,2,26,"If ever he have wife, let her he made","['ever', 'wife', 'let', 'made']"
Richard III,History,Lady Anne,1,2,27,A miserable by the death of him,"['miserable', 'death']"
Richard III,History,Lady Anne,1,2,28,As I am made by my poor lord and thee!,"['made', 'poor', 'lord']"
Richard III,History,Lady Anne,1,2,29,"Come, now towards Chertsey with your holy load,","['Come', 'towards', 'Chertsey', 'holy', 'load']"
Richard III,History,Lady Anne,1,2,30,Taken from Paul's to be interred there;,"['Taken', 'Paul', 'interred']"
Richard III,History,Lady Anne,1,2,31,"And still, as you are weary of the weight,","['still', 'weary', 'weight']"
Richard III,History,Lady Anne,1,2,32,"Rest you, whiles I lament King Henry's corse.","['Rest', 'whiles', 'lament', 'King', 'Henry', 'corse']"
Richard III,History,Gloucester,1,2,33,"Stay, you that bear the corse, and set it down.","['Stay', 'bear', 'corse', 'set']"
Richard III,History,Lady Anne,1,2,34,"What black magician conjures up this fiend,","['black', 'magician', 'conjures', 'fiend']"
Richard III,History,Lady Anne,1,2,35,To stop devoted charitable deeds?,"['stop', 'devoted', 'charitable', 'deeds']"
Richard III,History,Gloucester,1,2,36,"Villains, set down the corse; or, by Saint Paul,","['Villains', 'set', 'corse', 'Saint', 'Paul']"
Richard III,History,Gloucester,1,2,37,I'll make a corse of him that disobeys.,"['make', 'corse', 'disobeys']"
Richard III,History,Gentleman,1,2,38,"My lord, stand back, and let the coffin pass.","['lord', 'stand', 'back', 'let', 'coffin', 'pass']"
Richard III,History,Gloucester,1,2,39,"Unmanner'd dog! stand thou, when I command:","['Unmanner', 'dog', 'stand', 'command']"
Richard III,History,Gloucester,1,2,40,"Advance thy halbert higher than my breast,","['Advance', 'halbert', 'higher', 'breast']"
Richard III,History,Gloucester,1,2,41,"Or, by Saint Paul, I'll strike thee to my foot,","['Saint', 'Paul', 'strike', 'foot']"
Richard III,History,Gloucester,1,2,42,"And spurn upon thee, beggar, for thy boldness.","['spurn', 'upon', 'beggar', 'boldness']"
Richard III,History,Lady Anne,1,2,43,"What, do you tremble? are you all afraid?","['tremble', 'afraid']"
Richard III,History,Lady Anne,1,2,44,"Alas, I blame you not; for you are mortal,","['blame', 'mortal']"
Richard III,History,Lady Anne,1,2,45,And mortal eyes cannot endure the devil.,"['mortal', 'eyes', 'endure', 'devil']"
Richard III,History,Lady Anne,1,2,46,"Avaunt, thou dreadful minister of hell!","['Avaunt', 'dreadful', 'minister', 'hell']"
Richard III,History,Lady Anne,1,2,47,"Thou hadst but power over his mortal body,","['hadst', 'power', 'mortal', 'body']"
Richard III,History,Lady Anne,1,2,48,His soul thou canst not have; therefore be gone.,"['soul', 'canst', 'therefore', 'gone']"
Richard III,History,Gloucester,1,2,49,"Sweet saint, for charity, be not so curst.","['Sweet', 'saint', 'charity', 'curst']"
Richard III,History,Lady Anne,1,2,50,"Foul devil, for God's sake, hence, and trouble us not;","['Foul', 'devil', 'God', 'sake', 'trouble']"
Richard III,History,Lady Anne,1,2,51,"For thou hast made the happy earth thy hell,","['made', 'happy', 'earth', 'hell']"
Richard III,History,Lady Anne,1,2,52,Fill'd it with cursing cries and deep exclaims.,"['Fill', 'cursing', 'cries', 'deep', 'exclaims']"
Richard III,History,Lady Anne,1,2,53,"If thou delight to view thy heinous deeds,","['delight', 'view', 'heinous', 'deeds']"
Richard III,History,Lady Anne,1,2,54,Behold this pattern of thy butcheries.,"['Behold', 'pattern', 'butcheries']"
Richard III,History,Lady Anne,1,2,55,"O, gentlemen, see, see! dead Henry's wounds","['gentlemen', 'see', 'see', 'dead', 'Henry', 'wounds']"
Richard III,History,Lady Anne,1,2,56,Open their congeal'd mouths and bleed afresh!,"['Open', 'congeal', 'mouths', 'bleed', 'afresh']"
Richard III,History,Lady Anne,1,2,57,"Blush, Blush, thou lump of foul deformity;","['Blush', 'Blush', 'lump', 'foul', 'deformity']"
Richard III,History,Lady Anne,1,2,58,For 'tis thy presence that exhales this blood,"[""'t"", 'presence', 'exhales', 'blood']"
Richard III,History,Lady Anne,1,2,59,"From cold and empty veins, where no blood dwells;","['cold', 'empty', 'veins', 'blood', 'dwells']"
Richard III,History,Lady Anne,1,2,60,"Thy deed, inhuman and unnatural,","['deed', 'inhuman', 'unnatural']"
Richard III,History,Lady Anne,1,2,61,Provokes this deluge most unnatural.,"['Provokes', 'deluge', 'unnatural']"
Richard III,History,Lady Anne,1,2,62,"O God, which this blood madest, revenge his death!","['God', 'blood', 'madest', 'revenge', 'death']"
Richard III,History,Lady Anne,1,2,63,"O earth, which this blood drink'st revenge his death!","['earth', 'blood', ""drink'st"", 'revenge', 'death']"
Richard III,History,Lady Anne,1,2,64,Either heaven with lightning strike the,"['Either', 'heaven', 'lightning', 'strike']"
Richard III,History,Lady Anne,1,2,65,"murderer dead,","['murderer', 'dead']"
Richard III,History,Lady Anne,1,2,66,"Or earth, gape open wide and eat him quick,","['earth', 'gape', 'open', 'wide', 'eat', 'quick']"
Richard III,History,Lady Anne,1,2,67,As thou dost swallow up this good king's blood,"['swallow', 'good', 'king', 'blood']"
Richard III,History,Lady Anne,1,2,68,Which his hell-govern'd arm hath butchered!,"['hell-govern', 'arm', 'butchered']"
Richard III,History,Gloucester,1,2,69,"Lady, you know no rules of charity,","['Lady', 'know', 'rules', 'charity']"
Richard III,History,Gloucester,1,2,70,"Which renders good for bad, blessings for curses.","['renders', 'good', 'bad', 'blessings', 'curses']"
Richard III,History,Lady Anne,1,2,71,"Villain, thou know'st no law of God nor man:","['Villain', ""know'st"", 'law', 'God', 'man']"
Richard III,History,Lady Anne,1,2,72,No beast so fierce but knows some touch of pity.,"['beast', 'fierce', 'knows', 'touch', 'pity']"
Richard III,History,Gloucester,1,2,73,"But I know none, and therefore am no beast.","['know', 'none', 'therefore', 'beast']"
Richard III,History,Lady Anne,1,2,74,"O wonderful, when devils tell the truth!","['wonderful', 'devils', 'tell', 'truth']"
Richard III,History,Gloucester,1,2,75,"More wonderful, when angels are so angry.","['wonderful', 'angels', 'angry']"
Richard III,History,Gloucester,1,2,76,"Vouchsafe, divine perfection of a woman,","['Vouchsafe', 'divine', 'perfection', 'woman']"
Richard III,History,Gloucester,1,2,77,"Of these supposed-evils, to give me leave,","['supposed-evils', 'give', 'leave']"
Richard III,History,Gloucester,1,2,78,"By circumstance, but to acquit myself.","['circumstance', 'acquit']"
Richard III,History,Lady Anne,1,2,79,"Vouchsafe, defused infection of a man,","['Vouchsafe', 'defused', 'infection', 'man']"
Richard III,History,Lady Anne,1,2,80,"For these known evils, but to give me leave,","['known', 'evils', 'give', 'leave']"
Richard III,History,Lady Anne,1,2,81,"By circumstance, to curse thy cursed self.","['circumstance', 'curse', 'cursed', 'self']"
